Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Gilliland Marguerite Amy,Senior Vice President,2022-04-29,Option Exercise,135.85,38330,5207130,May 03 03:50 PM
Gallopoulos Gregory S,"Senior VP, Gen. Counsel, Sec.",2022-04-29,Sale,237.93,10644,2532527,May 03 03:54 PM
Deep Danny,Vice President,2022-03-08,Option Exercise,136.78,5180,708520,Mar 10 02:32 PM
Smith Robert Edward,Executive Vice President,2022-03-04,Option Exercise,136.78,12860,1758991,Mar 08 03:52 PM
Moss William A,Vice President and Controller,2022-03-03,Option Exercise,136.78,3060,418547,Mar 07 04:32 PM
Aiken Jason W,Senior Vice President and CFO,2022-03-03,Option Exercise,136.78,16105,2202842,Mar 07 04:28 PM
Moss William A,Vice President and Controller,2022-03-03,Sale,237.17,2391,567073,Mar 07 04:32 PM
Kuryea Kimberly A,Senior Vice President,2022-03-02,Option Exercise,136.78,12630,1727531,Mar 03 04:12 PM
Gallopoulos Gregory S,"Senior VP, Gen. Counsel, Sec.",2022-03-01,Option Exercise,135.85,49170,6679744,Mar 03 04:02 PM
NOVAKOVIC PHEBE N,Chairman and CEO,2022-03-01,Option Exercise,136.78,248830,34034967,Mar 03 04:18 PM
Roualet Mark C.,Executive Vice President,2022-02-28,Option Exercise,136.78,23600,3228008,Mar 02 03:14 PM
Moss William A,Vice President and Controller,2021-12-17,Option Exercise,136.78,2500,341950,Dec 21 01:19 PM
Moss William A,Vice President and Controller,2021-12-17,Sale,203.7,2051,417789,Dec 21 01:19 PM
Aiken Jason W,Senior Vice President and CFO,2021-10-29,Option Exercise,136.78,16725,2287646,Nov 02 04:34 PM
Gilliland Marguerite Amy,Senior Vice President,2021-09-01,Option Exercise,136.78,28840,3944735,Sep 03 12:48 PM
Gallopoulos Gregory S,"Senior VP, Gen. Counsel, Sec.",2021-07-30,Option Exercise,136.78,38300,5238674,Aug 03 04:06 PM
