Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Williams Jeffrey E,COO,2025-04-02,Sale,224.01,35493,-7950691,390059,Apr 03 06:33 PM
Cook Timothy D,CEO,2025-04-02,Sale,223.65,108136,-24184659,3280295,Apr 03 06:32 PM
Adams Katherine L.,"SVP, GC, Secretary",2025-04-02,Sale,223.67,38822,-8683252,179158,Apr 03 06:31 PM
Levinson Arthur D,Dir,2025-02-03,Sale,226.35,1516,-343147,4215576,Feb 04 06:33 PM
Williams Jeffrey E,COO,2024-12-16,Sale,249.97,100000,-24997395,389944,Dec 18 06:30 PM
Levinson Arthur D,Dir,2024-11-15,Sale,227.32,200000,-45464500,4215576,Nov 19 06:31 PM
Kondo Chris,Principal Accounting Officer,2024-11-18,Sale,228.87,4130,-945233,15419,Nov 19 06:30 PM
Maestri Luca,"SVP, CFO",2024-10-04,Sale,226.52,59305,-13433769,107788,Oct 08 06:30 PM
Williams Jeffrey E,COO,2024-10-02,Sale,226.86,59730,-13550148,489944,Oct 03 06:31 PM
Adams Katherine L.,"SVP, GC, Secretary",2024-10-02,Sale,226.20,61019,-13802297,187043,Oct 03 06:30 PM
Cook Timothy D,CEO,2024-10-02,Sale,224.46,223986,-50276355,3280180,Oct 03 06:30 PM
O'Brien Deirdre,SVP,2024-10-02,Sale,226.87,61019,-13843382,136572,Oct 03 06:30 PM
Kondo Chris,Principal Accounting Officer,2024-08-15,Sale,225.00,8706,-1958850,15419,Aug 19 06:30 PM
Kondo Chris,Principal Accounting Officer,2024-08-09,Sale,216.50,5178,-1121037,24125,Aug 13 07:02 PM
Adams Katherine L.,"SVP, GC, Secretary",2024-08-05,Sale,206.44,100000,-20643512,187043,Aug 07 06:30 PM
Levinson Arthur D,Dir,2024-05-30,Sale,191.58,75000,-14368500,4415576,Jun 03 06:31 PM
Kondo Chris,Principal Accounting Officer,2024-05-15,Sale,190.40,4999,-951785,29278,May 17 06:30 PM
Williams Jeffrey E,COO,2024-04-11,Sale,172.22,59162,-10188880,489944,Apr 15 06:31 PM
Maestri Luca,"SVP, CFO",2024-04-11,Sale,174.12,53194,-9261933,107788,Apr 15 06:30 PM
O'Brien Deirdre,SVP,2024-04-02,Sale,168.91,54732,-9244782,136572,Apr 03 06:33 PM
Cook Timothy D,CEO,2024-04-01,Sale,169.33,196410,-33258614,3280180,Apr 03 06:31 PM
Adams Katherine L.,"SVP, GC, Secretary",2024-04-02,Sale,168.90,54732,-9244235,293393,Apr 03 06:30 PM
Levinson Arthur D,Dir,2024-02-29,Sale,180.94,100000,-18094000,4490576,Mar 01 06:34 PM
Kondo Chris,Principal Accounting Officer,2023-11-29,Sale,192.00,5513,-1058496,29174,Dec 01 06:32 PM
Adams Katherine L.,"SVP, GC, Secretary",2023-11-17,Sale,188.79,123448,-23305748,293266,Nov 20 06:31 PM
Kondo Chris,Principal Accounting Officer,2023-11-10,Sale,184.04,4806,-884496,34687,Nov 14 06:31 PM
Williams Jeffrey E,COO,2023-10-06,Sale,177.00,69785,-12351945,489817,Oct 10 06:31 PM
Maestri Luca,"SVP, CFO",2023-10-06,Sale,178.29,63695,-11356182,107661,Oct 10 06:30 PM
O'Brien Deirdre,SVP,2023-10-03,Sale,172.11,65536,-11279673,136445,Oct 03 09:08 PM
Cook Timothy D,CEO,2023-10-03,Sale,172.50,240569,-41498284,3280053,Oct 03 09:04 PM
Adams Katherine L.,"SVP, GC, Secretary",2023-10-03,Sale,172.09,65536,-11278365,416714,Oct 03 09:02 PM
O'Brien Deirdre,SVP,2023-08-07,Sale,178.56,15419,-2753217,136445,Aug 08 06:30 PM
Kondo Chris,Principal Accounting Officer,2023-05-08,Sale,173.26,4092,-708980,33946,May 10 06:30 PM
